Player Color, Final Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit,Accumulated PlayerHitReceived,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: LevelOpen_Version2_Gridbox,Time: 18/4/2024 6:09:29 PM
Player Red,7,60,9,4,2.799414,15,8,6,4,27,,
Player Blue,0,55,4,6,2.694034,10,8,9,12,16,,
Player Yellow,5,54,8,6,2.418676,15,8,6,12,13,,
Player Green,0,28,0,5,2.746318,5,2,3,6,12,,
Player Name, Final Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: AsymmetryArena_B,Time: 18/4/2024 6:13:17 PM
Player Red,9,34,8,2,1.740366,6,2,0,10,16,,
Player Blue,0,29,5,8,0.7411954,6,3,0,6,14,,
Player Yellow,0,29,3,7,0.4992711,13,0,0,8,8,,
Player Green,3,36,7,6,0.8765095,6,5,0,12,13,,
Player Name, Final Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: SymmetryArena_A,Time: 18/4/2024 6:17:06 PM
Player Red,2,68,8,10,0.9994192,0,0,0,0,0,,
Player Blue,1,51,6,9,0.9158586,0,0,0,0,0,,
Player Yellow,5,49,10,7,0.9195954,0,0,0,0,0,,
Player Green,4,49,10,8,0.9597952,0,0,0,0,0,,
