Player Name, Final Player Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: TrainingGround,Time: 25/4/2024 5:11:57 PM
Player Red,0,35,0,4,5.894351,4,3,4,8,16,,
Player Blue,4,59,8,6,0.9956225,7,8,6,13,25,,
Player Yellow,5,24,7,5,1.694703,4,1,1,5,13,,
Player Green,3,48,2,2,1.219399,7,5,1,8,27,,
Player Name, Final Player Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: ArenaB_AsymmetryVerticality,Time: 25/4/2024 5:15:47 PM
Player Red,8,50,11,4,1.614172,6,9,0,15,20,,
Player Blue,3,49,6,4,0.9365908,12,4,0,12,21,,
Player Yellow,0,3,2,9,2.171936,0,0,0,3,0,,
Player Green,1,31,3,5,1.459719,9,4,0,11,7,,
Player Name, Final Player Plumage ,Accumulated Attempt to hit,Accumulated PlayerHit Number,Accumulated PlayerHitReceived Number,Accumulated Player Standing Still Time,Zone A: Accumulated Hit Attempt,Zone B: Accumulated Hit Attempt,Zone C: Accumulated Hit Attempt,Zone D: Accumulated Hit Attempt,Mid Circle Zone: Accumulated Hit Attempt,Level: ArenaA_AsymmetryV2,Time: 25/4/2024 5:19:21 PM
Player Red,6,52,7,4,1.549115,11,11,0,15,15,,
Player Blue,4,42,9,6,1.089175,4,10,0,14,14,,
Player Yellow,0,14,4,10,0.9894045,1,5,0,4,4,,
Player Green,2,47,6,6,0.2367804,4,11,0,15,17,,
